あ,ኣ,ኣ
い,ኢ,ኢ
う,ኡ,ኡ
え,ኤ,ኤ
お,ኦ,ኦ
ああ,ኣኣ,ኣኣ
いい,ኢኢ,ኢኢ
うう,ኡኡ,ኡኡ
ええ,ኤኤ,ኤኤ
おう,ኦኦ,ኦኦ
おお,ኦኦ,ኦኦ
えい,ኤኢ,ኤኢ
か,ካ,ካ
き,ኪ,ኪ
く,ኩ,ኩ
け,ኬ,ኬ
こ,ኮ,ኮ
きゃ,ኪያ,ኪያ
きゅ,ኪዩ,ኪዩ
きょ,ኪዮ,ኪዮ
かあ,ካኣ,ካኣ
きい,ኪኢ,ኪኢ
くう,ኩኡ,ኩኡ
けえ,ኬኤ,ኬኤ
こう,ኮኦ,ኮኦ
こお,ኮኦ,ኮኦ
きゃあ,ኪያኣ,ኪያኣ
きゅう,ኪዩኡ,ኪዩኡ
きょう,ኪዮኦ,ኪዮኦ
きょお,ኪዮኦ,ኪዮኦ
けい,ኬኢ,ኬኢ
が,ጋ,ጋ
ぎ,ጊ,ጊ
ぐ,ጉ,ጉ
げ,ጌ,ጌ
ご,ጎ,ጎ
ぎゃ,ጊያ,ጊያ
ぎゅ,ጊዩ,ጊዩ
ぎょ,ጊዮ,ጊዮ
があ,ጋኣ,ጋኣ
ぎい,ጊኢ,ጊኢ
ぐう,ጉኡ,ጉኡ
げえ,ጌኤ,ጌኤ
ごう,ጎኦ,ጎኦ
ごお,ጎኦ,ጎኦ
ぎゃあ,ጊያኣ,ጊያኣ
ぎゅう,ጊዩኡ,ጊዩኡ
ぎょう,ጊዮኦ,ጊዮኦ
ぎょお,ጊዮኦ,ጊዮኦ
げい,ጌኢ,ጌኢ
さ,ሣ,ሣ
すぃ,ሢ,ሢ
す,ሡ,ሡ
せ,ሤ,ሤ
そ,ሦ,ሦ
さあ,ሣኣ,ሣኣ
すぃい,ሢኢ,ሢኢ
すう,ሡኡ,ሡኡ
せえ,ሤኤ,ሤኤ
そう,ሦኦ,ሦኦ
そお,ሦኦ,ሦኦ
せい,ሤኢ,ሤኢ
しゃ,ሻ,ሻ
し,ሺ,ሺ
しゅ,ሹ,ሹ
しぇ,ሼ,ሼ
しょ,ሾ,ሾ
しゃあ,ሻኣ,ሻኣ
しい,ሺኢ,ሺኢ
しゅう,ሹኡ,ሹኡ
しぇえ,ሼኤ,ሼኤ
しょう,ሾኦ,ሾኦ
しょお,ሾኦ,ሾኦ
しぇい,ሼኢ,ሼኢ
ざ,ዛ,ዛ
ずぃ,ዚ,ዚ
ず,ዙ,ዙ
ぜ,ዜ,ዜ
ぞ,ዞ,ዞ
ざあ,ዛኣ,ዛኣ
ずぃい,ዚኢ,ዚኢ
ずう,ዙኡ,ዙኡ
ぜえ,ዜኤ,ዜኤ
ぞう,ዞኦ,ዞኦ
ぞお,ዞኦ,ዞኦ
ぜい,ዜኢ,ዜኢ
じゃ,ዣ,ዣ
じ,ዢ,ዢ
じゅ,ዡ,ዡ
じぇ,ዤ,ዤ
じょ,ዦ,ዦ
じゃあ,ዣኣ,ዣኣ
じい,ዢኢ,ዢኢ
じゅう,ዡኡ,ዡኡ
じぇえ,ዤኤ,ዤኤ
じょう,ዦኦ,ዦኦ
じょお,ዦኦ,ዦኦ
じぇい,ዤኢ,ዤኢ
た,ታ,ታ
てぃ,ቲ,ቲ
とぅ,ቱ,ቱ
て,ቴ,ቴ
と,ቶ,ቶ
たあ,ታኣ,ታኣ
てぃい,ቲኢ,ቲኢ
とぅう,ቱኡ,ቱኡ
てえ,ቴኤ,ቴኤ
とう,ቶኦ,ቶኦ
とお,ቶኦ,ቶኦ
てい,ቴኢ,ቴኢ
ちゃ,ቻ,ቻ
ち,ቺ,ቺ
ちゅ,ቹ,ቹ
ちぇ,ቼ,ቼ
ちょ,ቾ,ቾ
ちゃあ,ቻኣ,ቻኣ
ちい,ቺኢ,ቺኢ
ちゅう,ቹኡ,ቹኡ
ちぇえ,ቼኤ,ቼኤ
ちょう,ቾኦ,ቾኦ
ちょお,ቾኦ,ቾኦ
ちぇい,ቼኢ,ቼኢ
つぁ,ፃ,ፃ
つぃ,ፂ,ፂ
つ,ፁ,ፁ
つぇ,ፄ,ፄ
つぉ,ፆ,ፆ
つぁあ,ፃኣ,ፃኣ
つぃい,ፂኢ,ፂኢ
つう,ፁኡ,ፁኡ
つぇえ,ፄኤ,ፄኤ
つぉう,ፆኦ,ፆኦ
つぉお,ፆኦ,ፆኦ
つぇい,ፄኢ,ፄኢ
だ,ዳ,ዳ
でぃ,ዲ,ዲ
どぅ,ዱ,ዱ
で,ዴ,ዴ
ど,ዶ,ዶ
だあ,ዳኣ,ዳኣ
でぃい,ዲኢ,ዲኢ
どぅう,ዱኡ,ዱኡ
でえ,ዴኤ,ዴኤ
どう,ዶኦ,ዶኦ
どお,ዶኦ,ዶኦ
でい,ዴኢ,ዴኢ
ぢゃ,ጃ,ጃ
ぢ,ጂ,ጂ
ぢゅ,ጁ,ጁ
ぢぇ,ጄ,ጄ
ぢょ,ጆ,ጆ
ぢゃあ,ጃኣ,ጃኣ
ぢい,ጂኢ,ጂኢ
ぢゅう,ጁኡ,ጁኡ
ぢぇえ,ጄኤ,ጄኤ
ぢょう,ጆኦ,ጆኦ
ぢょお,ጆኦ,ጆኦ
ぢぇい,ጄኢ,ጄኢ
づ,ዙ,ዙ
づう,ዙኡ,ዙኡ
な,ና,ና
に,ኒ,ኒ
ぬ,ኑ,ኑ
ね,ኔ,ኔ
の,ኖ,ኖ
にゃ,ኛ,ኛ
にゅ,ኙ,ኙ
にょ,ኞ,ኞ
なあ,ናኣ,ናኣ
にい,ኒኢ,ኒኢ
ぬう,ኑኡ,ኑኡ
ねえ,ኔኤ,ኔኤ
のう,ኖኦ,ኖኦ
のお,ኖኦ,ኖኦ
にゃあ,ኛኣ,ኛኣ
にゅう,ኙኡ,ኙኡ
にょう,ኞኦ,ኞኦ
にょお,ኞኦ,ኞኦ
ねい,ኔኢ,ኔኢ
は,ሃ,ሃ
ひ,ሂ,ሂ
へ,ሄ,ሄ
ほ,ሆ,ሆ
ひゃ,ሂያ,ሂያ
ひゅ,ሂዩ,ሂዩ
ひょ,ሂዮ,ሂዮ
はあ,ሃኣ,ሃኣ
ひい,ሂኢ,ሂኢ
へえ,ሄኤ,ሄኤ
ほう,ሆኦ,ሆኦ
ほお,ሆኦ,ሆኦ
ひゃあ,ሂያኣ,ሂያኣ
ひゅう,ሂዩኡ,ሂዩኡ
ひょう,ሂዮኦ,ሂዮኦ
ひょお,ሂዮኦ,ሂዮኦ
へい,ሄኢ,ሄኢ
ふぁ,ፋ,ፋ
ふぃ,ፊ,ፊ
ふ,ፉ,ፉ
ふぇ,ፌ,ፌ
ふぉ,ፎ,ፎ
ふぁあ,,
ふぃい,,
ふう,ፉኡ,ፉኡ
ふぇえ,,
ふぉう,,
ふぉお,,
ふぇい,ፌኢ,ፌኢ
ば,ባ,ባ
び,ቢ,ቢ
ぶ,ቡ,ቡ
べ,ቤ,ቤ
ぼ,ቦ,ቦ
びゃ,ቢያ,ቢያ
びゅ,ቢዩ,ቢዩ
びょ,ቢዮ,ቢዮ
ばあ,ባኣ,ባኣ
びい,ቢኢ,ቢኢ
ぶう,ቡኡ,ቡኡ
べえ,ቤኤ,ቤኤ
ぼう,ቦኦ,ቦኦ
ぼお,ቦኦ,ቦኦ
びゃあ,ቢያኣ,ቢያኣ
びゅう,ቢዩኡ,ቢዩኡ
びょう,ቢዮኦ,ቢዮኦ
びょお,ቢዮኦ,ቢዮኦ
べい,ቤኢ,ቤኢ
ぱ,ፓ,ፓ
ぴ,ፒ,ፒ
ぷ,ፑ,ፑ
ぺ,ፔ,ፔ
ぽ,ፖ,ፖ
ぴゃ,ፒያ,ፒያ
ぴゅ,ፒዩ,ፒዩ
ぴょ,ፒዮ,ፒዮ
ぱあ,ፓኣ,ፓኣ
ぴい,ፒኢ,ፒኢ
ぷう,ፑኡ,ፑኡ
ぺえ,ፔኤ,ፔኤ
ぽう,ፖኦ,ፖኦ
ぽお,ፖኦ,ፖኦ
ぴゃあ,ፒያኣ,ፒያኣ
ぴゅう,ፒዩኡ,ፒዩኡ
ぴょう,ፒዮኦ,ፒዮኦ
ぴょお,ፒዮኦ,ፒዮኦ
ぺい,ፔኢ,ፔኢ
ま,ማ,ማ
み,ሚ,ሚ
む,ሙ,ሙ
め,ሜ,ሜ
も,ሞ,ሞ
みゃ,ሚያ,ሚያ
みゅ,ሚዩ,ሚዩ
みょ,ሚዮ,ሚዮ
まあ,ማኣ,ማኣ
みい,ሚኢ,ሚኢ
むう,ሙኡ,ሙኡ
めえ,ሜኤ,ሜኤ
もう,ሞኦ,ሞኦ
もお,ሞኦ,ሞኦ
みゃあ,ሚያኣ,ሚያኣ
みゅう,ሚዩኡ,ሚዩኡ
みょう,ሚዮኦ,ሚዮኦ
みょお,ሚዮኦ,ሚዮኦ
めい,ሜኢ,ሜኢ
や,ያ,ያ
ゆ,ዩ,ዩ
よ,ዮ,ዮ
やあ,ያኣ,ያኣ
ゆう,ዩኡ,ዩኡ
よう,ዮኦ,ዮኦ
よお,ዮኦ,ዮኦ
ら,ራ,ራ
