あ,أ,أ
い,إي,إي
う,أو,أو
え,إي,إي
お,أو,أو
ああ,أأ,أأ
いい,إيإي,إيإي
うう,أوأو,أوأو
ええ,إيإي,إيإي
おう,أوأو,أوأو
おお,أوأو,أوأو
えい,إيي,إيي
か,كا,كا
き,كي,كي
く,كو,كو
け,كي,كي
こ,كو,كو
きゃ,كيا,كيا
きゅ,كيو,كيو
きょ,كيو,كيو
かあ,كاا,كاا
きい,كيي,كيي
くう,كوو,كوو
けえ,كيي,كيي
こう,كوو,كوو
こお,كوو,كوو
きゃあ,كياا,كياا
きゅう,كيوو,كيوو
きょう,كيوو,كيوو
きょお,كيوو,كيوو
けい,كيي,كيي
が,غا,غا
ぎ,غي,غي
ぐ,غو,غو
げ,غي,غي
ご,غو,غو
ぎゃ,غيا,غيا
ぎゅ,غيو,غيو
ぎょ,غيو,غيو
があ,غاا,غاا
ぎい,غيي,غيي
ぐう,غوو,غوو
げえ,غيي,غيي
ごう,غوو,غوو
ごお,غوو,غوو
ぎゃあ,غياا,غياا
ぎゅう,غيوو,غيوو
ぎょう,غيوو,غيوو
ぎょお,غيوو,غيوو
げい,غيي,غيي
さ,سا,سا
すぃ,سي,سي
す,سو,سو
せ,سي,سي
そ,سو,سو
さあ,ساا,ساا
すぃい,سيي,سيي
すう,سوو,سوو
せえ,سيي,سيي
そう,سوو,سوو
そお,سوو,سوو
せい,سيي,سيي
しゃ,شا,شا
し,شي,شي
しゅ,شو,شو
しぇ,شي,شي
しょ,شو,شو
しゃあ,شاا,شاا
しい,شيي,شيي
しゅう,شوو,شوو
しぇえ,شيي,شيي
しょう,شوو,شوو
しょお,شوو,شوو
しぇい,شيي,شيي
ざ,زا,زا
ずぃ,زي,زي
ず,زو,زو
ぜ,زي,زي
ぞ,زو,زو
ざあ,زاا,زاا
ずぃい,زيي,زيي
ずう,زوو,زوو
ぜえ,زيي,زيي
ぞう,زوو,زوو
ぞお,زوو,زوو
ぜい,زيي,زيي
じゃ,جا,جا
じ,جي,جي
じゅ,جو,جو
じぇ,جي,جي
じょ,جو,جو
じゃあ,جاا,جاا
じい,جيي,جيي
じゅう,جوو,جوو
じぇえ,جيي,جيي
じょう,جوو,جوو
じょお,جوو,جوو
じぇい,جيي,جيي
た,تا,تا
てぃ,تي,تي
とぅ,تو,تو
て,تي,تي
と,تو,تو
たあ,تاا,تاا
てぃい,تيي,تيي
とぅう,توو,توو
てえ,تيي,تيي
とう,توو,توو
とお,توو,توو
てい,تيي,تيي
ちゃ,تشا,تشا
ち,تشي,تشي
ちゅ,تشو,تشو
ちぇ,تشي,تشي
ちょ,تشو,تشو
ちゃあ,تشاا,تشاا
ちい,تشيي,تشيي
ちゅう,تشوو,تشوو
ちぇえ,تشيي,تشيي
ちょう,تشوو,تشوو
ちょお,تشوو,تشوو
ちぇい,تشيي,تشيي
つぁ,تسا,تسا
つぃ,تسي,تسي
つ,تسو,تسو
つぇ,تسي,تسي
つぉ,تسو,تسو
つぁあ,تساا,تساا
つぃい,تسيي,تسيي
つう,تسوو,تسوو
つぇえ,تسيي,تسيي
つぉう,تسوو,تسوو
つぉお,تسوو,تسوو
つぇい,تسيي,تسيي
だ,دا,دا
でぃ,دي,دي
どぅ,دو,دو
で,دي,دي
ど,دو,دو
だあ,داا,داا
でぃい,ديي,ديي
どぅう,دوو,دوو
でえ,ديي,ديي
どう,دوو,دوو
どお,دوو,دوو
でい,ديي,ديي
ぢゃ,جا,جا
ぢ,جي,جي
ぢゅ,جو,جو
ぢぇ,جي,جي
ぢょ,جو,جو
ぢゃあ,جاا,جاا
ぢい,جيي,جيي
ぢゅう,جوو,جوو
ぢぇえ,جيي,جيي
ぢょう,جوو,جوو
ぢょお,جوو,جوو
ぢぇい,جيي,جيي
づ,زو,زو
づう,زوو,زوو
な,نا,نا
に,ني,ني
ぬ,نو,نو
ね,ني,ني
の,نو,نو
にゃ,نيا,نيا
にゅ,نيو,نيو
にょ,نيو,نيو
なあ,ناا,ناا
にい,نيي,نيي
ぬう,نوو,نوو
ねえ,نيي,نيي
のう,نوو,نوو
のお,نوو,نوو
にゃあ,نياا,نياا
にゅう,نيوو,نيوو
にょう,نيوو,نيوو
にょお,نيوو,نيوو
ねい,نيي,نيي
は,ها,ها
ひ,هي,هي
へ,هي,هي
ほ,هو,هو
ひゃ,هيا,هيا
ひゅ,هيو,هيو
ひょ,هيو,هيو
はあ,هاا,هاا
ひい,هيي,هيي
へえ,هيي,هيي
ほう,هوو,هوو
ほお,هوو,هوو
ひゃあ,هياا,هياا
ひゅう,هيوو,هيوو
ひょう,هيوو,هيوو
ひょお,هيوو,هيوو
へい,هيي,هيي
ふぁ,فا,فا
ふぃ,في,في
ふ,فو,فو
ふぇ,في,في
ふぉ,فو,فو
ふぁあ,فاا,فاا
ふぃい,فيي,فيي
ふう,فوو,فوو
ふぇえ,فيي,فيي
ふぉう,فوو,فوو
ふぉお,فوو,فوو
ふぇい,فيي,فيي
ば,با,با
び,بي,بي
ぶ,بو,بو
べ,بي,بي
ぼ,بو,بو
びゃ,بيا,بيا
びゅ,بيو,بيو
びょ,بيو,بيو
ばあ,باا,باا
びい,بيي,بيي
ぶう,بوو,بوو
べえ,بيي,بيي
ぼう,بوو,بوو
ぼお,بوو,بوو
びゃあ,بياا,بياا
びゅう,بيوو,بيوو
びょう,بيوو,بيوو
びょお,بيوو,بيوو
べい,بيي,بيي
ぱ,با,با
ぴ,بي,بي
ぷ,بو,بو
ぺ,بي,بي
ぽ,بو,بو
ぴゃ,بيا,بيا
ぴゅ,بيو,بيو
ぴょ,بيو,بيو
ぱあ,باا,باا
ぴい,بيي,بيي
ぷう,بوو,بوو
