あ,အာ,အာ
い,အီ,အီ
う,အူ,အူ
え,အဲ,အဲ
お,အို,အို
ああ,အာအာ,အာအာ
いい,အီအီ,အီအီ
うう,အူအူ,အူအူ
ええ,အဲအဲ,အဲအဲ
おう,အိုအို,အိုအို
おお,အိုအို,အိုအို
えい,အဲအီ,အဲအီ
か,ကာ,ကာ
き,ကီ,ကီ
く,ကူ,ကူ
け,ကဲ,ကဲ
こ,ကို,ကို
きゃ,ကျာ,ကျာ
きゅ,ကျူ,ကျူ
きょ,ကျို,ကျို
かあ,ကာအာ,ကာအာ
きい,ကီအီ,ကီအီ
くう,ကူအူ,ကူအူ
けえ,ကဲအဲ,ကဲအဲ
こう,ကိုအို,ကိုအို
こお,ကိုအို,ကိုအို
きゃあ,ကျာအာ,ကျာအာ
きゅう,ကျူအူ,ကျူအူ
きょう,ကျိုအို,ကျိုအို
きょお,ကျိုအို,ကျိုအို
けい,ကဲအီ,ကဲအီ
が,ဂါ,ဂါ
ぎ,ဂီ,ဂီ
ぐ,ဂူ,ဂူ
げ,ဂဲ,ဂဲ
ご,ဂို,ဂို
ぎゃ,ဂျာ,ဂျာ
ぎゅ,ဂျူ,ဂျူ
ぎょ,ဂျို,ဂျို
があ,ဂါအာ,ဂါအာ
ぎい,ဂီအီ,ဂီအီ
ぐう,ဂူအူ,ဂူအူ
げえ,ဂဲအဲ,ဂဲအဲ
ごう,ဂိုအို,ဂိုအို
ごお,ဂိုအို,ဂိုအို
ぎゃあ,ဂျာအာ,ဂျာအာ
ぎゅう,ဂျူအူ,ဂျူအူ
ぎょう,ဂျိုအို,ဂျိုအို
ぎょお,ဂျိုအို,ဂျိုအို
げい,ဂဲအီ,ဂဲအီ
さ,ဆာ,ဆာ
すぃ,ဆီ,ဆီ
す,ဆူ,ဆူ
せ,ဆဲ,ဆဲ
そ,ဆို,ဆို
さあ,ဆာအာ,ဆာအာ
すぃい,ဆီအီ,ဆီအီ
すう,ဆူအူ,ဆူအူ
せえ,ဆဲအဲ,ဆဲအဲ
そう,ဆိုအို,ဆိုအို
そお,ဆိုအို,ဆိုအို
せい,ဆဲအီ,ဆဲအီ
しゃ,ရှာ,ရှာ
し,ရှီ,ရှီ
しゅ,ရှူ,ရှူ
しぇ,ရှဲ,ရှဲ
しょ,ရှို,ရှို
しゃあ,ရှာအာ,ရှာအာ
しい,ရှီအီ,ရှီအီ
しゅう,ရှူအူ,ရှူအူ
しぇえ,ရှဲအဲ,ရှဲအဲ
しょう,ရှိုအို,ရှိုအို
しょお,ရှိုအို,ရှိုအို
しぇい,ရှဲအီ,ရှဲအီ
ざ,ဇာ,ဇာ
ずぃ,ဇီ,ဇီ
ず,ဇူ,ဇူ
ぜ,ဇဲ,ဇဲ
ぞ,ဇို,ဇို
ざあ,ဇာအာ,ဇာအာ
ずぃい,ဇီအီ,ဇီအီ
ずう,ဇူအူ,ဇူအူ
ぜえ,ဇဲအဲ,ဇဲအဲ
ぞう,ဇိုအို,ဇိုအို
ぞお,ဇိုအို,ဇိုအို
ぜい,ဇဲအီ,ဇဲအီ
じゃ,ဂျာ,ဂျာ
じ,ဂျီ,ဂျီ
じゅ,ဂျူ,ဂျူ
じぇ,ဂျဲ,ဂျဲ
じょ,ဂျို,ဂျို
じゃあ,ဂျာအာ,ဂျာအာ
じい,ဂျီအီ,ဂျီအီ
じゅう,ဂျူအူ,ဂျူအူ
じぇえ,ဂျဲအဲ,ဂျဲအဲ
じょう,ဂျိုအို,ဂျိုအို
じょお,ဂျိုအို,ဂျိုအို
じぇい,ဂျဲအီ,ဂျဲအီ
た,တာ,တာ
てぃ,တီ,တီ
とぅ,တူ,တူ
て,တဲ,တဲ
と,တို,တို
たあ,တာအာ,တာအာ
てぃい,တီအီ,တီအီ
とぅう,တူအူ,တူအူ
てえ,တဲအဲ,တဲအဲ
とう,တိုအို,တိုအို
とお,တိုအို,တိုအို
てい,တဲအီ,တဲအီ
ちゃ,ဈာ,ဈာ
ち,ဈီ,ဈီ
ちゅ,ဈူ,ဈူ
ちぇ,ဈဲ,ဈဲ
ちょ,ဈို,ဈို
