あ,α,α
い,ι,ι
う,ου,ου
え,ε,ε
お,ο,ο
ああ,αα,αα
いい,ιι,ιι
うう,ουου,ουου
ええ,εε,εε
おう,οο,οο
おお,οο,οο
えい,ει,ει
か,κα,κα
き,κι,κι
く,κου,κου
け,κε,κε
こ,κο,κο
きゃ,κια,κια
きゅ,κιου,κιου
きょ,κιο,κιο
かあ,καα,καα
きい,κιι,κιι
くう,κουου,κουου
けえ,κεε,κεε
こう,κοο,κοο
こお,κοο,κοο
きゃあ,κια’α,κια’α
きゅう,κιου’ου,κιου’ου
きょう,κιο’ο,κιο’ο
きょお,κιο’ο,κιο’ο
けい,κει,κει
が,γκα,γκα
ぎ,γκι,γκι
ぐ,γκου,γκου
げ,γκε,γκε
ご,γκο,γκο
ぎゃ,γκια,γκια
ぎゅ,γκιου,γκιου
ぎょ,γκιο,γκιο
があ,γκαα,γκαα
ぎい,γκιι,γκιι
ぐう,γκουου,γκουου
げえ,γκεε,γκεε
ごう,γκοο,γκοο
ごお,γκοο,γκοο
ぎゃあ,γκια’α,γκια’α
ぎゅう,γκιου’ου,γκιου’ου
ぎょう,γκιο’ο,γκιο’ο
ぎょお,γκιο’ο,γκιο’ο
げい,γκει,γκει
さ,σα,σα
すぃ,σι,σι
す,σου,σου
せ,σε,σε
そ,σο,σο
さあ,σαα,σαα
すぃい,σιι,σιι
すう,σουου,σουου
せえ,σεε,σεε
そう,σοο,σοο
そお,σοο,σοο
せい,σει,σει
しゃ,σια,σια
し,σιι,σιι
しゅ,σιου,σιου
しぇ,σιε,σιε
しょ,σιο,σιο
しゃあ,σιαα,σιαα
しい,σιιι,σιιι
しゅう,σιουου,σιουου
しぇえ,σιεε,σιεε
しょう,σιοο,σιοο
しょお,σιοο,σιοο
しぇい,σιει,σιει
ざ,ζα,ζα
ずぃ,ζι,ζι
ず,ζου,ζου
ぜ,ζε,ζε
ぞ,ζο,ζο
ざあ,ζαα,ζαα
ずぃい,ζιι,ζιι
ずう,ζουου,ζουου
ぜえ,ζεε,ζεε
ぞう,ζοο,ζοο
ぞお,ζοο,ζοο
ぜい,ζει,ζει
じゃ,ζια,ζια
じ,ζιι,ζιι
じゅ,ζιου,ζιου
じぇ,ζιε,ζιε
じょ,ζιο,ζιο
じゃあ,ζιαα,ζιαα
じい,ζιιι,ζιιι
じゅう,ζιουου,ζιουου
じぇえ,ζιεε,ζιεε
じょう,ζιοο,ζιοο
じょお,ζιοο,ζιοο
じぇい,ζιει,ζιει
た,τα,τα
てぃ,τι,τι
とぅ,του,του
て,τε,τε
と,το,το
たあ,ταα,ταα
てぃい,τιι,τιι
とぅう,τουου,τουου
てえ,τεε,τεε
とう,τοο,τοο
とお,τοο,τοο
てい,τει,τει
ちゃ,τια,τια
ち,τιι,τιι
ちゅ,τιου,τιου
ちぇ,τιε,τιε
ちょ,τιο,τιο
ちゃあ,τιαα,τιαα
ちい,τιιι,τιιι
ちゅう,τιουου,τιουου
ちぇえ,τιεε,τιεε
ちょう,τιοο,τιοο
ちょお,τιοο,τιοο
ちぇい,τιει,τιει
つぁ,τσα,τσα
つぃ,τσι,τσι
つ,τσου,τσου
つぇ,τσε,τσε
つぉ,τσο,τσο
つぁあ,τσαα,τσαα
つぃい,τσιι,τσιι
つう,τσουου,τσουου
つぇえ,τσεε,τσεε
つぉう,τσοο,τσοο
つぉお,τσοο,τσοο
つぇい,τσει,τσει
だ,ντα,ντα
でぃ,ντι,ντι
どぅ,ντου,ντου
で,ντε,ντε
ど,ντο,ντο
だあ,νταα,νταα
でぃい,ντιι,ντιι
どぅう,ντουου,ντουου
でえ,ντεε,ντεε
どう,ντοο,ντοο
どお,ντοο,ντοο
でい,ντει,ντει
ぢゃ,ζια,ζια
ぢ,ζιι,ζιι
ぢゅ,ζιου,ζιου
ぢぇ,ζιε,ζιε
ぢょ,ζιο,ζιο
ぢゃあ,ζιαα,ζιαα
ぢい,ζιιι,ζιιι
ぢゅう,ζιουου,ζιουου
ぢぇえ,ζιεε,ζιεε
ぢょう,ζιοο,ζιοο
ぢょお,ζιοο,ζιοο
ぢぇい,ζιει,ζιει
づ,ζου,ζου
づう,ζουου,ζουου
な,να,να
に,νι,νι
ぬ,νου,νου
ね,νε,νε
の,νο,νο
にゃ,νια,νια
にゅ,νιου,νιου
にょ,νιο,νιο
なあ,ναα,ναα
にい,νιι,νιι
ぬう,νουου,νουου
ねえ,νεε,νεε
のう,νοο,νοο
のお,νοο,νοο
にゃあ,νια’α,νια’α
にゅう,νιου’ου,νιου’ου
にょう,νιο’ο,νιο’ο
にょお,νιο’ο,νιο’ο
ねい,νει,νει
は,χα,χα
ひ,χι,χι
へ,χε,χε
ほ,χο,χο
ひゃ,χια,χια
ひゅ,χιου,χιου
ひょ,χιο,χιο
はあ,χαα,χαα
ひい,χιι,χιι
へえ,χεε,χεε
ほう,χοο,χοο
ほお,χοο,χοο
ひゃあ,χια’α,χια’α
ひゅう,χιου’ου,χιου’ου
ひょう,χιο’ο,χιο’ο
ひょお,χιο’ο,χιο’ο
へい,χει,χει
ふぁ,φα,φα
ふぃ,φι,φι
ふ,φου,φου
ふぇ,φε,φε
ふぉ,φο,φο
ふぁあ,φαα,φαα
ふぃい,φιι,φιι
ふう,φουου,φουου
ふぇえ,φεε,φεε
ふぉう,φοο,φοο
ふぉお,φοο,φοο
ふぇい,φει,φει
ば,μπα,μπα
び,μπι,μπι
ぶ,μπου,μπου
べ,μπε,μπε
ぼ,μπο,μπο
びゃ,μπια,μπια
びゅ,μπιου,μπιου
びょ,μπιο,μπιο
ばあ,μπαα,μπαα
びい,μπιι,μπιι
ぶう,μπουου,μπουου
べえ,μπεε,μπεε
ぼう,μποο,μποο
ぼお,μποο,μποο
びゃあ,μπια’α,μπια’α
びゅう,μπιου’ου,μπιου’ου
びょう,μπιο’ο,μπιο’ο
びょお,μπιο’ο,μπιο’ο
べい,μπει,μπει
ぱ,πα,πα
ぴ,πι,πι
ぷ,που,που
ぺ,πε,πε
ぽ,πο,πο
ぴゃ,πια,πια
ぴゅ,πιου,πιου
ぴょ,πιο,πιο
ぱあ,παα,παα
ぴい,πιι,πιι
ぷう,πουου,πουου
ぺえ,πεε,πεε
ぽう,ποο,ποο
ぽお,ποο,ποο
ぴゃあ,πια’α,πια’α
ぴゅう,πιου’ου,πιου’ου
ぴょう,πιο’ο,πιο’ο
ぴょお,πιο’ο,πιο’ο
ぺい,πει,πει
ま,μα,μα
み,μι,μι
む,μου,μου
め,με,με
も,μο,μο
みゃ,μια,μια
みゅ,μιου,μιου
みょ,μιο,μιο
まあ,μαα,μαα
みい,μιι,μιι
むう,μουου,μουου
めえ,μεε,μεε
もう,μοο,μοο
もお,μοο,μοο
みゃあ,μια’α,μια’α
みゅう,μιου’ου,μιου’ου
みょう,μιο’ο,μιο’ο
みょお,μιο’ο,μιο’ο
めい,μει,μει
や,ια,ια
ゆ,ιου,ιου
よ,ιο,ιο
やあ,ιαα,ιαα
ゆう,ιουου,ιουου
よう,ιοο,ιοο
よお,ιοο,ιοο
ら,ρα,ρα
り,ρι,ρι
る,ρου,ρου
れ,ρε,ρε
ろ,ρο,ρο
りゃ,ρια,ρια
りゅ,ριου,ριου
りょ,ριο,ριο
らあ,ραα,ραα
りい,ριι,ριι
るう,ρουου,ρουου
れえ,ρεε,ρεε
ろう,ροο,ροο
ろお,ροο,ροο
りゃあ,ρια’α,ρια’α
りゅう,ριου’ου,ριου’ου
りょう,ριο’ο,ριο’ο
りょお,ριο’ο,ριο’ο
れい,ρει,ρει
わ,βα,βα
うぃ,βι,βι
うぇ,βε,βε
うぉ,βο,βο
わあ,βαα,βαα
うぃい,βιι,βιι
うぇえ,βεε,βεε
うぉう,βοο,βοο
うぉお,βοο,βοο
うぇい,βει,βει
ん,ν,ν
を,ο,ο
っ,,
んあ,ν’α,ν’α
