あ,अ,अ
い,इ,इ
う,उ,उ
え,ए,ए
お,ओ,ओ
ああ,अअ,अअ
いい,ई,ई
うう,उउ,उउ
ええ,एए,एए
おう,ओओ,ओओ
おお,ओओ,ओओ
えい,एइ,एइ
か,का,का
き,कि,कि
く,कु,कु
け,के,के
こ,को,को
きゃ,क्या,क्या
きゅ,क्यु,क्यु
きょ,क्यो,क्यो
かあ,काअ,काअ
きい,की,की
くう,कुउ,कुउ
けえ,केए,केए
こう,कोओ,कोओ
こお,कोओ,कोओ
きゃあ,क्याअ,क्याअ
きゅう,क्युउ,क्युउ
きょう,क्योओ,क्योओ
きょお,क्योओ,क्योओ
けい,केइ,केइ
が,गा,गा
ぎ,गि,गि
ぐ,गु,गु
げ,गे,गे
ご,गो,गो
ぎゃ,ग्या,ग्या
ぎゅ,ग्यु,ग्यु
ぎょ,ग्यो,ग्यो
があ,गाअ,गाअ
ぎい,गी,गी
ぐう,गुउ,गुउ
げえ,गेए,गेए
ごう,गोओ,गोओ
ごお,गोओ,गोओ
ぎゃあ,ग्याअ,ग्याअ
ぎゅう,ग्युउ,ग्युउ
ぎょう,ग्योओ,ग्योओ
ぎょお,ग्योओ,ग्योओ
げい,गेइ,गेइ
さ,सा,सा
すぃ,सि,सि
す,सु,सु
せ,से,से
そ,सो,सो
さあ,साअ,साअ
すぃい,सी,सी
すう,सुउ,सुउ
せえ,सेए,सेए
そう,सोओ,सोओ
そお,सोओ,सोओ
せい,सेइ,सेइ
しゃ,शा,शा
し,शि,शि
しゅ,शु,शु
しぇ,शे,शे
しょ,शो,शो
しゃあ,शाअ,शाअ
しい,शी,शी
しゅう,शुउ,शुउ
しぇえ,शेए,शेए
しょう,शोओ,शोओ
しょお,शोओ,शोओ
しぇい,शेि,शेि
ざ,ज़ा,ज़ा
ずぃ,ज़ि,ज़ि
ず,ज़ु,ज़ु
ぜ,ज़े,ज़े
ぞ,ज़ो,ज़ो
ざあ,ज़ाअ,ज़ाअ
ずぃい,ज़ी,ज़ी
ずう,ज़ुउ,ज़ुउ
ぜえ,ज़ेए,ज़ेए
ぞう,ज़ोओ,ज़ोओ
ぞお,ज़ोओ,ज़ोओ
ぜい,ज़ेइ,ज़ेइ
じゃ,जा,जा
じ,जि,जि
じゅ,जु,जु
じぇ,जे,जे
じょ,जो,जो
じゃあ,जाअ,जाअ
じい,जी,जी
じゅう,जुउ,जुउ
じぇえ,जेए,जेए
じょう,जोओ,जोओ
じょお,जोओ,जोओ
じぇい,जेि,जेि
た,ता,ता
てぃ,ति,ति
とぅ,तु,तु
て,ते,ते
と,तो,तो
たあ,ताअ,ताअ
てぃい,ती,ती
とぅう,तुउ,तुउ
てえ,तेए,तेए
とう,तोओ,तोओ
とお,तोओ,तोओ
てい,तेइ,तेइ
ちゃ,चा,चा
ち,चि,चि
