a,あ,あ
i,い,い
u,う,う
e,え,え
o,お,お
aa,ああ,ああ
ii,いい,いい
uu,うう,うう
ee,ええ,ええ
ou,おう,おう
oo,おお,おお
ei,えい,えい
ka,か,か
ki,き,き
ku,く,く
ke,け,け
ko,こ,こ
kya,きゃ,きゃ
kyu,きゅ,きゅ
kyo,きょ,きょ
kaa,かあ,かあ
kii,きい,きい
kuu,くう,くう
kee,けえ,けえ
kou,こう,こう
koo,こお,こお
kyaa,きゃあ,きゃあ
kyuu,きゅう,きゅう
kyou,きょう,きょう
kyoo,きょお,きょお
kei,けい,けい
ga,が,が
gi,ぎ,ぎ
gu,ぐ,ぐ
ge,げ,げ
go,ご,ご
gya,ぎゃ,ぎゃ
gyu,ぎゅ,ぎゅ
gyo,ぎょ,ぎょ
gaa,があ,があ
gii,ぎい,ぎい
guu,ぐう,ぐう
gee,げえ,げえ
gou,ごう,ごう
goo,ごお,ごお
gyaa,ぎゃあ,ぎゃあ
gyuu,ぎゅう,ぎゅう
gyou,ぎょう,ぎょう
gyoo,ぎょお,ぎょお
gei,げい,げい
sa,さ,さ
si,すぃ,すぃ
su,す,す
se,せ,せ
so,そ,そ
saa,さあ,さあ
sii,スィー,スィー
suu,すう,すう
see,せえ,せえ
sou,そう,そう
soo,そお,そお
sei,せい,せい
sha,しゃ,しゃ
shi,し,し
shu,しゅ,しゅ
she,しぇ,しぇ
sho,しょ,しょ
shaa,しゃあ,しゃあ
shii,しい,しい
shuu,しゅう,しゅう
shee,シェー,シェー
shou,しょう,しょう
shoo,しょお,しょお
shei,しぇい,しぇい
za,ざ,ざ
zi,ズィ,ズィ
zu,ず,ず
ze,ぜ,ぜ
zo,ぞ,ぞ
zaa,ざあ,ざあ
zii,ズィー,ズィー
zuu,ずう,ずう
zee,ぜえ,ぜえ
zou,ぞう,ぞう
zoo,ぞお,ぞお
zei,ぜい,ぜい
ja,じゃ,じゃ
ji,じ,じ
ju,じゅ,じゅ
je,じぇ,じぇ
jo,じょ,じょ
jaa,じゃあ,じゃあ
jii,じい,じい
juu,じゅう,じゅう
jee,ジェー,ジェー
jou,じょう,じょう
joo,じょお,じょお
jei,じぇい,じぇい
ta,た,た
ti,ティ,ティ
tu,トゥ,トゥ
te,て,て
to,と,と
taa,たあ,たあ
tii,ティー,ティー
tuu,トゥー,トゥー
tee,てえ,てえ
tou,とう,とう
too,とお,とお
tei,てい,てい
cha,ちゃ,ちゃ
chi,ち,ち
chu,ちゅ,ちゅ
che,チェ,チェ
cho,ちょ,ちょ
chaa,ちゃあ,ちゃあ
chii,ちい,ちい
chuu,ちゅう,ちゅう
chee,ちぇえ,ちぇえ
chou,ちょう,ちょう
choo,ちょお,ちょお
chei,ちぇい,ちぇい
tsa,ツァ,ツァ
tsi,ツィ,ツィ
tsu,つ,つ
tse,ツェ,ツェ
tso,ツォ,ツォ
tsaa,ツァー,ツァー
tsii,ツィー,ツィー
tsuu,つう,つう
tsee,ツェー,ツェー
tsou,ツォウ,ツォウ
tsoo,ツォー,ツォー
tsei,ツェイ,ツェイ
da,だ,だ
di,ディ,ディ
du,ドゥ,ドゥ
de,で,で
do,ど,ど
daa,だあ,だあ
dii,ディー,ディー
duu,ドゥー,ドゥー
dee,でえ,でえ
dou,どう,どう
doo,どお,どお
dei,でい,でい
na,な,な
ni,に,に
nu,ぬ,ぬ
ne,ね,ね
no,の,の
nya,にゃ,にゃ
nyu,にゅ,にゅ
nyo,にょ,にょ
naa,なあ,なあ
nii,にい,にい
nuu,ぬう,ぬう
nee,ねえ,ねえ
nou,のう,のう
noo,のお,のお
nyaa,にゃあ,にゃあ
nyuu,にゅう,にゅう
nyou,にょう,にょう
nyoo,にょお,にょお
nei,ねい,ねい
ha,は,は
hi,ひ,ひ
he,へ,へ
ho,ほ,ほ
hya,ひゃ,ひゃ
hyu,ひゅ,ひゅ
hyo,ひょ,ひょ
haa,はあ,はあ
hii,ひい,ひい
hee,へえ,へえ
hou,ほう,ほう
hoo,ほお,ほお
hyaa,ひゃあ,ひゃあ
hyuu,ひゅう,ひゅう
hyou,ひょう,ひょう
hyoo,ひょお,ひょお
hei,へい,へい
fa,ふぁ,ふぁ
fi,ふぃ,ふぃ
fu,ふ,ふ
fe,ふぇ,ふぇ
fo,ふぉ,ふぉ
faa,ふぁあ,ふぁあ
fii,ふぃい,ふぃい
fuu,ふう,ふう
fee,ふぇえ,ふぇえ
fou,ふぉう,ふぉう
foo,ふぉお,ふぉお
fei,ふぇい,ふぇい
ba,ば,ば
bi,び,び
bu,ぶ,ぶ
be,べ,べ
bo,ぼ,ぼ
bya,びゃ,びゃ
byu,びゅ,びゅ
byo,びょ,びょ
baa,ばあ,ばあ
bii,びい,びい
buu,ぶう,ぶう
bee,べえ,べえ
bou,ぼう,ぼう
boo,ぼお,ぼお
byaa,びゃあ,びゃあ
byuu,びゅう,びゅう
byou,びょう,びょう
byoo,びょお,びょお
bei,べい,べい
pa,ぱ,ぱ
pi,ぴ,ぴ
pu,ぷ,ぷ
pe,ぺ,ぺ
po,ぽ,ぽ
pya,ぴゃ,ぴゃ
pyu,ぴゅ,ぴゅ
pyo,ぴょ,ぴょ
paa,ぱあ,ぱあ
pii,ぴい,ぴい
puu,ぷう,ぷう
pee,ぺえ,ぺえ
pou,ぽう,ぽう
poo,ぽお,ぽお
pyaa,ぴゃあ,ぴゃあ
pyuu,ぴゅう,ぴゅう
pyou,ぴょう,ぴょう
pyoo,ぴょお,ぴょお
pei,ぺい,ぺい
ma,ま,ま
mi,み,み
mu,む,む
me,め,め
mo,も,も
mya,みゃ,みゃ
myu,みゅ,みゅ
myo,みょ,みょ
maa,まあ,まあ
mii,みい,みい
muu,むう,むう
mee,めえ,めえ
mou,もう,もう
moo,もお,もお
myaa,みゃあ,みゃあ
myuu,みゅう,みゅう
myou,みょう,みょう
myoo,みょお,みょお
mei,めい,めい
ya,や,や
yu,ゆ,ゆ
yo,よ,よ
yaa,やあ,やあ
yuu,ゆう,ゆう
you,よう,よう
yoo,よお,よお
ra,ら,ら
ri,り,り
ru,る,る
re,れ,れ
ro,ろ,ろ
rya,りゃ,りゃ
ryu,りゅ,りゅ
ryo,りょ,りょ
raa,らあ,らあ
rii,りい,りい
ruu,るう,るう
ree,れえ,れえ
rou,ろう,ろう
roo,ろお,ろお
ryaa,りゃあ,りゃあ
ryuu,りゅう,りゅう
ryou,りょう,りょう
ryoo,りょお,りょお
rei,れい,れい
wa,わ,わ
wi,うぃ,うぃ
we,うぇ,うぇ
wo,お,お
waa,わあ,わあ
wii,うぃい,うぃい
wee,うぇえ,うぇえ
wou,うぉう,うぉう
woo,うぉお,うぉお
wei,うぇい,うぇい
n,ん,ん
n'a,んあ,んあ
n'i,んい,んい
n'u,んう,んう
n'e,んえ,んえ
n'o,んお,んお
n'ya,んや,んや
n'yu,んゆ,んゆ
n'yo,んよ,んよ
n'aa,んああ,んああ
