あ,a,a
い,i,i
う,u,u
え,e,e
お,o,o
ああ,aa,aa
いい,ii,ii
うう,uu,uu
ええ,ee,ee
おう,oo,oo
おお,oo,oo
えい,ei,ei
か,ka,ka
き,ki,ki
く,ku,ku
け,ke,ke
こ,ko,ko
きゃ,kya,kya
きゅ,kyu,kyu
きょ,kyo,kyo
かあ,kaa,kaa
きい,kii,kii
くう,kuu,kuu
けえ,kee,kee
こう,koo,koo
こお,koo,koo
きゃあ,kyaa,kyaa
きゅう,kyuu,kyuu
きょう,kyoo,kyoo
きょお,kyoo,kyoo
けい,kei,kei
が,ga,ga
ぎ,gi,gi
ぐ,gu,gu
げ,ge,ge
ご,go,go
ぎゃ,gya,gya
ぎゅ,gyu,gyu
ぎょ,gyo,gyo
があ,gaa,gaa
ぎい,gii,gii
ぐう,guu,guu
げえ,gee,gee
ごう,goo,goo
ごお,goo,goo
ぎゃあ,gyaa,gyaa
ぎゅう,gyuu,gyuu
ぎょう,gyoo,gyoo
ぎょお,gyoo,gyoo
げい,gei,gei
さ,sa,sa
すぃ,si,si
す,su,su
せ,se,se
そ,so,so
さあ,saa,saa
すぃい,sii,sii
すう,suu,suu
せえ,see,see
そう,soo,soo
そお,soo,soo
せい,sei,sei
しゃ,sha,sha
し,shi,shi
しゅ,shu,shu
しぇ,she,she
しょ,sho,sho
しゃあ,shaa,shaa
しい,shii,shii
しゅう,shuu,shuu
しぇえ,shee,shee
しょう,shoo,shoo
しょお,shoo,shoo
しぇい,shei,shei
ざ,za,za
ずぃ,zi,zi
ず,zu,zu
ぜ,ze,ze
ぞ,zo,zo
ざあ,zaa,zaa
ずぃい,zii,zii
ずう,zuu,zuu
ぜえ,zee,zee
ぞう,zoo,zoo
ぞお,zoo,zoo
ぜい,zei,zei
じゃ,ja,ja
じ,ji,ji
じゅ,ju,ju
じぇ,je,je
じょ,jo,jo
じゃあ,jaa,jaa
じい,jii,jii
じゅう,juu,juu
じぇえ,jee,jee
じょう,joo,joo
じょお,joo,joo
じぇい,jei,jei
た,ta,ta
てぃ,ti,ti
とぅ,tu,tu
て,te,te
と,to,to
たあ,taa,taa
てぃい,tii,tii
とぅう,tuu,tuu
てえ,tee,tee
とう,too,too
とお,too,too
てい,tei,tei
ちゃ,cha,cha
ち,chi,chi
ちゅ,chu,chu
ちぇ,che,che
ちょ,cho,cho
ちゃあ,chaa,chaa
ちい,chii,chii
ちゅう,chuu,chuu
ちぇえ,chee,chee
ちょう,choo,choo
ちょお,choo,choo
ちぇい,chei,chei
つぁ,tsa,tsa
つぃ,tsi,tsi
つ,tsu,tsu
つぇ,tse,tse
つぉ,tso,tso
つぁあ,tsaa,tsaa
つぃい,tsii,tsii
つう,tsuu,tsuu
つぇえ,tsee,tsee
つぉう,tsoo,tsoo
つぉお,tsoo,tsoo
つぇい,tsei,tsei
だ,da,da
