qqa,a
bqq,b
chqq,ch
cchqq,cch
dqq,d
qqe,e
fqq,f
gqq,g
hqq,h
qqi,i
jqq,j
kqq,k
kkqq,kk
mqq,m
nqq,n
qqo,o
pqq,p
ppqq,pp
rqq,r
sqq,s
ssqq,ss
shqq,sh
sshqq,ssh
tqq,t
ttqq,tt
tsqq,ts
ttsqq,tts
qqu,u
wqq,w
(a)qq,(a)
yqq,y
qqya,ya
qqyo,yo
qqyu,yu
zqq,z
(a)a,あ
(a)i,い
(a)u,う
(a)e,え
(a)o,お
(a)ya,(や)
(a)yu,(ゆ)
(a)yo,(よ)
ka,か
ki,き
ku,く
ke,け
ko,こ
kya,きゃ
kyu,きゅ
kyo,きょ
ga,が
gi,ぎ
gu,ぐ
ge,げ
go,ご
gya,ぎゃ
gyu,ぎゅ
gyo,ぎょ
sa,さ
si,スィ
su,す
se,せ
so,そ
sya,(しゃ)
syu,(しゅ)
syo,(しょ)
sha,しゃ
shi,し
shu,しゅ
she,シェ
sho,しょ
shya,(しゃ)
shyu,(しゅ)
shyo,(しょ)
za,ざ
zi,ズィ
zu,ず
ze,ぜ
zo,ぞ
zya,(じゃ)
zyu,(じゅ)
zyo,(じょ)
ja,じゃ
ji,じ
ju,じゅ
je,ジェ
jo,じょ
jya,(じゃ)
jyu,(じゅ)
jyo,(じょ)
ta,た
ti,ティ
tu,トゥ
te,て
to,と
tya,(ちゃ)
tyu,(ちゅ)
tyo,(ちょ)
cha,ちゃ
chi,ち
chu,ちゅ
che,チェ
cho,ちょ
chya,(ちゃ)
chyu,(ちゅ)
chyo,(ちょ)
tsa,ツァ
tsi,ツィ
tsu,つ
tse,ツェ
tso,ツォ
tsya,(ちゃ)
tsyu,(ちゅ)
tsyo,(ちょ)
da,だ
di,ディ
du,ドゥ
de,で
do,ど
dya,(じゃ)
dyu,(じゅ)
dyo,(じょ)
na,な
ni,に
nu,ぬ
ne,ね
no,の
nya,にゃ
nyu,にゅ
nyo,にょ
ha,は
hi,ひ
hu,(ふ)
he,へ
ho,ほ
hya,ひゃ
hyu,ひゅ
hyo,ひょ
ba,ば
bi,び
bu,ぶ
be,べ
bo,ぼ
bya,びゃ
byu,びゅ
byo,びょ
pa,ぱ
pi,ぴ
pu,ぷ
pe,ぺ
po,ぽ
pya,ぴゃ
pyu,ぴゅ
pyo,ぴょ
fa,ファ
fi,フィ
fu,ふ
fe,フェ
fo,フォ
fya,(ひゃ)
fyu,(ひゅ)
fyo,(ひょ)
ma,ま
mi,み
mu,む
me,め
mo,も
mya,みゃ
myu,みゅ
myo,みょ
ya,や
yi,(い)
yu,ゆ
ye,イェ
yo,よ
yya,(や)
yyu,(ゆ)
yyo,(よ)
ra,ら
ri,り
ru,る
re,れ
ro,ろ
rya,りゃ
ryu,りゅ
ryo,りょ
wa,わ
wi,ウィ
wu,(う)
