あ,ආ,ආ
い,ඊ,ඊ
う,ඌ,ඌ
え,ඒ,ඒ
お,ඕ,ඕ
ああ,ආආ,ආආ
いい,ඊඊ,ඊඊ
うう,ඌඌ,ඌඌ
ええ,ඒඒ,ඒඒ
おう,ඕඕ,ඕඕ
おお,ඕඕ,ඕඕ
えい,ඒඊ,ඒඊ
か,ක,ක
き,කී,කී
く,කූ,කූ
け,කේ,කේ
こ,කෝ,කෝ
きゃ,කීආ,කීආ
きゅ,කීඌ,කීඌ
きょ,කීඕ,කීඕ
かあ,කාආ,කාආ
きい,කීඊ,කීඊ
くう,කූඌ,කූඌ
けえ,කේඒ,කේඒ
こう,කෝඕ,කෝඕ
こお,කෝඕ,කෝඕ
きゃあ,කීආආ,කීආආ
きゅう,කීඌඌ,කීඌඌ
きょう,කීඕඕ,කීඕඕ
きょお,කීඕඕ,කීඕඕ
けい,කේඊ,කේඊ
が,ග,ග
ぎ,ගී,ගී
ぐ,ගූ,ගූ
げ,ගේ,ගේ
ご,ගෝ,ගෝ
ぎゃ,ගීආ,ගීආ
ぎゅ,ගීඌ,ගීඌ
ぎょ,ගීඕ,ගීඕ
があ,ගාආ,ගාආ
ぎい,ගීඊ,ගීඊ
ぐう,ගූඌ,ගූඌ
げえ,ගේඒ,ගේඒ
ごう,ගෝඕ,ගෝඕ
ごお,ගෝඕ,ගෝඕ
ぎゃあ,ගීආආ,ගීආආ
ぎゅう,ගීඌඌ,ගීඌඌ
ぎょう,ගීඕඕ,ගීඕඕ
ぎょお,ගීඕඕ,ගීඕඕ
げい,ගේඊ,ගේඊ
さ,ස,ස
すぃ,සී,සී
す,සූ,සූ
せ,සේ,සේ
そ,සෝ,සෝ
さあ,සාආ,සාආ
すぃい,සීඊ,සීඊ
すう,සූඌ,සූඌ
せえ,සේඒ,සේඒ
そう,සෝඕ,සෝඕ
そお,සෝඕ,සෝඕ
せい,සේඊ,සේඊ
しゃ,ෂ,ෂ
し,ෂී,ෂී
しゅ,ෂූ,ෂූ
しぇ,ෂේ,ෂේ
しょ,ෂෝ,ෂෝ
しゃあ,ෂාආ,ෂාආ
しい,ෂීඊ,ෂීඊ
しゅう,ෂූඌ,ෂූඌ
しぇえ,ෂේඒ,ෂේඒ
しょう,ෂෝඕ,ෂෝඕ
しょお,ෂෝඕ,ෂෝඕ
しぇい,ෂේඊ,ෂේඊ
ざ,ජ,ජ
ずぃ,ජී,ජී
ず,ජූ,ජූ
ぜ,ජේ,ජේ
ぞ,ජෝ,ජෝ
ざあ,ජාආ,ජාආ
ずぃい,ජීඊ,ජීඊ
ずう,ජූඌ,ජූඌ
ぜえ,ජේඒ,ජේඒ
ぞう,ජෝඕ,ජෝඕ
ぞお,ජෝඕ,ජෝඕ
ぜい,ජේඊ,ජේඊ
じゃ,ජ,ජ
じ,ජී,ජී
じゅ,ජූ,ජූ
じぇ,ජේ,ජේ
じょ,ජෝ,ජෝ
じゃあ,ජාආ,ජාආ
じい,ජීඊ,ජීඊ
じゅう,ජූඌ,ජූඌ
じぇえ,ජේඒ,ජේඒ
じょう,ජෝඕ,ජෝඕ
じょお,ජෝඕ,ජෝඕ
じぇい,ජේඊ,ජේඊ
た,ට,ට
